ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA33064,8,12,35,77,126,158,176
ZCTA33065,1,8,20,45,72,90,217
ZCTA33066,1,1,4,26,41,95,317
ZCTA33067,1,1,7,15,30,37,68
ZCTA33068,4,8,16,49,60,80,92
ZCTA33069,4,5,18,36,58,87,285
ZCTA33070,,2,4,8,12,16,31
ZCTA33071,2,4,5,22,42,55,91
ZCTA33072,,,1,,,,
ZCTA33073,,3,12,19,35,48,98
ZCTA33075,,,,,,1,2
ZCTA33076,1,1,4,16,32,47,145
ZCTA33077,,,,,,,1
ZCTA33109,,,,,,1,2
ZCTA33122,,,1,1,,1,
ZCTA33124,,,,,1,,2
ZCTA33125,1,2,32,93,106,189,329
ZCTA33126,2,3,23,42,68,158,334
ZCTA33127,4,8,18,44,64,84,75
ZCTA33128,2,,6,16,24,42,80
ZCTA33129,,1,2,4,11,28,73
ZCTA33130,,1,7,37,43,89,126
ZCTA33131,1,1,3,6,15,9,16
ZCTA33132,,,2,6,6,4,11
ZCTA33133,,6,17,38,61,98,178
ZCTA33134,2,,12,30,51,104,298
ZCTA33135,1,4,15,39,70,147,215
ZCTA33136,,6,16,49,40,43,64
ZCTA33137,2,2,8,10,30,45,84
ZCTA33138,1,2,11,42,76,71,103
ZCTA33139,4,3,11,42,48,87,167
ZCTA33140,,1,3,18,23,52,130
ZCTA33141,,2,16,37,66,77,152
ZCTA33142,5,13,53,142,165,203,183
ZCTA33143,,1,10,19,34,73,151
ZCTA33144,,,10,21,43,116,279
ZCTA33145,,2,15,33,45,121,246
ZCTA33146,,,,4,12,25,95
ZCTA33147,7,20,56,127,165,199,153
ZCTA33149,,,3,1,8,23,51
ZCTA33150,5,9,32,63,97,106,86
ZCTA33153,1,,,,,1,2
ZCTA33154,,1,6,13,16,30,99
ZCTA33155,1,4,25,40,73,163,384
ZCTA33156,,1,10,18,20,53,168
ZCTA33157,4,10,30,94,130,210,330
ZCTA33158,,,,3,8,17,31
ZCTA33159,,,,,,,1
ZCTA33160,3,2,15,36,61,119,373
ZCTA33161,2,12,39,105,153,157,183
ZCTA33162,3,10,25,71,69,73,112
ZCTA33163,,,,1,1,,
ZCTA33164,,,,,,,1
ZCTA33165,2,1,23,49,85,236,535
ZCTA33166,,2,8,19,50,95,169
ZCTA33167,1,7,22,41,56,62,51
ZCTA33168,2,6,16,42,56,68,88
ZCTA33169,,,,2,,,
ZCTA33169,3,6,27,55,95,96,116
ZCTA33170,2,3,8,22,22,35,38
ZCTA33172,,3,6,24,59,89,177
ZCTA33173,,6,11,20,43,92,307
ZCTA33174,,1,8,27,48,120,242
ZCTA33175,3,2,14,41,83,198,394
ZCTA33176,2,5,14,35,67,140,258
ZCTA33177,1,7,18,44,80,132,215
ZCTA33178,,3,12,7,29,48,62
ZCTA33179,1,4,23,58,91,130,145
ZCTA33180,2,,7,13,36,85,295
ZCTA33181,2,2,5,16,18,37,60
ZCTA33182,,2,2,7,18,26,69
ZCTA33183,1,3,18,33,44,105,181
ZCTA33184,2,1,10,16,37,64,128
ZCTA33185,1,1,2,13,32,53,113
ZCTA33186,4,9,17,36,72,136,220
ZCTA33187,,2,9,13,21,43,74
ZCTA33189,2,4,8,25,32,71,85
ZCTA33190,1,2,4,12,17,15,10
ZCTA33193,,3,13,27,53,94,163
ZCTA33194,,,,,4,6,8
ZCTA33196,2,4,8,35,42,73,142
ZCTA33197,,,,,1,,
ZCTA33199,,,,,,,1
ZCTA33239,,,,,,1,
ZCTA33247,,,1,,,,
ZCTA33261,,,,,1,,
ZCTA33301,1,2,5,8,14,30,46
ZCTA33302,1,1,,2,1,,
