ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA33542,,,,2,4,12,23,27,12
ZCTA33541,,,,1,5,7,21,17,11
ZCTA33540,,,,,2,1,4,4,7
ZCTA33538,,,,,,1,4,3,1
ZCTA33537,,,,1,,,,,
ZCTA33534,,,,1,,3,2,2,1
ZCTA33527,,,,2,1,3,7,5,2
ZCTA33525,,1,2,,2,12,17,12,10
ZCTA33524,,,,,1,,,,
ZCTA33523,,,,,1,2,4,3,1
ZCTA33523,,,,2,3,9,6,13,4
ZCTA33521,,,,,,1,1,1,
ZCTA33514,,,,,,1,1,4,
ZCTA33513,,,,,2,3,8,8,7
ZCTA33511,,,2,2,6,10,13,19,17
ZCTA33510,,,,,,3,7,8,5
ZCTA33509,,,,,,,1,,
ZCTA33498,,,,,1,,1,1,4
ZCTA33496,,,,,1,,7,11,5
ZCTA33493,,,2,1,1,2,1,1,
ZCTA33487,,,,,,3,2,5,1
ZCTA33486,,,1,,,2,5,2,5
ZCTA33484,,,,,2,10,14,16,30
ZCTA33483,,,,,1,2,2,3,5
ZCTA33480,,,,,,1,2,3,5
ZCTA33478,,,,,,3,1,,
ZCTA33477,,,,,,2,2,3,1
ZCTA33476,,,,,1,6,7,6,4
ZCTA33475,,,,,,,,1,
ZCTA33473,,,,,1,1,,,
ZCTA33472,,,,,1,2,6,8,6
ZCTA33471,,,,1,,2,4,1,1
ZCTA33470,,,,1,4,4,4,1,4
ZCTA33469,,,,,1,1,1,1,2
ZCTA33469,,,,,1,2,2,,5
ZCTA33468,,,,,,,,,1
ZCTA33467,,,,,3,6,17,14,20
ZCTA33463,,,,,4,11,18,10,3
ZCTA33462,,,1,2,3,4,11,17,3
ZCTA33461,,,1,2,7,10,10,19,6
ZCTA33460,,,1,1,5,6,9,5,6
ZCTA33458,,,,,2,8,2,7,4
ZCTA33455,,,,1,1,7,11,7,10
ZCTA33454,,,,,1,,,,
ZCTA33449,,,,,,,2,2,
ZCTA33446,,,,,,5,8,15,18
ZCTA33445,,,1,1,3,3,4,9,6
ZCTA33444,,,1,,2,3,15,11,3
ZCTA33442,,,,,,9,6,14,15
ZCTA33441,,,1,3,7,16,12,13,5
ZCTA33440,,,,,5,7,9,12,8
ZCTA33438,,,,,,1,,,
ZCTA33437,,,,,1,5,6,23,26
